label,path,type,checker
vii,/DataCentric/data/train/vii/accbfcf8-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aecde980-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/adffa656-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b0aadc18-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/ae992d4e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ade63e96-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad6977b2-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/abffce94-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab6d0f14-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af49be20-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac5fb084-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae4940a4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/adc5102c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aaef3fd0-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab3eed3c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae3daffa-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aee407d8-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/ae92e2b8-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b0ee2c84-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab6c883c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aae6a7bc-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae0cff7c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af52e734-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae5f199c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae67fc06-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aed9fd10-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ade7471e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac45eb36-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ad014980-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af6eb9c8-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aab5e35c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/adc7c952-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/afef4f98-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aaf5fa78-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/afc4ea3c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aecc1b78-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad4b843c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/ab1bd798-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae601644-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae1f07ee-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae3cdf4e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ac76dc1e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af1e5bae-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab4a2f58-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/ae9abc2c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad4e1918-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/afe179fe-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/acb887cc-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aae0f998-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/aff36812-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aeb8dd7e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/acd55582-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b031599c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aeccba56-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae431af8-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad85aae0-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/ab09b11c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ace9a0b4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad1b3214-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/ae9596d4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ad02664e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b09e2f2c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aabd4cb4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aef0831e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aecf5a22-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/ab123cd8-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/b00f3c7c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af541cc6-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab2cceae-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/af9f8544-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af7bb060-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad471abe-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aeb6b26a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac3c9504-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/b00177cc-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/ae9b4732-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aad0936e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af2524e8-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b0ed88f6-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/adb5c4f0-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/b0083ec2-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad98e2cc-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aee5e71a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae348010-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af3b9a20-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae2a6b52-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad248828-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab3e6592-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af2e31b4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab33b214-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ac9a1b20-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae8746e2-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af6b0f8a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aec8178a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae18730c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b02e16c4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
