label,path,type,checker
.,/DataCentric/data/train/ix/aeb3d252-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iii/b0f2129a-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/v/af7b0264-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/vii/aca544e6-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/v/af8d278c-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
ii,/DataCentric/data/train/iii/b06fe3d8-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/vi/ab24bd22-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iii/b03bc6ca-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
iii,/DataCentric/data/train/i/aba4001e-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
iii,/DataCentric/data/train/iii/b0aa2e58-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
iii,/DataCentric/data/train/iv/ae56b964-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
iii,/DataCentric/data/train/i/abc5a782-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iii/b0ac2b9a-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/x/b0062b82-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/viii/adb07b4e-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iv/adef85a0-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iii/b08eb24a-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iii/b0ada20e-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iv/ae76ecde-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/vi/aab65602-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iii/b08a2702-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iii/b03fdcec-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/vii/acf31810-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/vii/ac8226aa-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iii/b02f68c6-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/x/afe2c354-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iii/b0d24d20-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/viii/ada3dc5e-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iv/add76632-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/i/ac3db31c-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/v/af93cf92-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/vii/aca3b2e8-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iii/b09203a0-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/vi/ab182544-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/viii/ad10efac-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/x/afc8f028-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iv/ae276cea-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iv/ae83d41c-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/vii/ac7c5bd0-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
.,/DataCentric/data/train/iv/addc72d0-ce5d-11eb-b317-38f9d35ea60f.png,remove,Hao
