,label,path,type,checker
0,i,/DataCentric/data/train/i/abc62d74-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
1,i,/DataCentric/data/train/i/abc6b9f6-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
2,i,/DataCentric/data/train/i/abf7a8e0-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
3,i,/DataCentric/data/train/i/abfb5f30-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
4,i,/DataCentric/data/train/i/ac013f7c-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
5,i,/DataCentric/data/train/i/ac14e8ba-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
6,i,/DataCentric/data/train/i/ac18fb9e-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
7,i,/DataCentric/data/train/i/ac3396a2-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
8,i,/DataCentric/data/train/i/ac3e7324-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
9,ii,/DataCentric/data/train/ii/ab327264-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
10,iii,/DataCentric/data/train/iii/b053b2c6-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
11,iii,/DataCentric/data/train/iii/b05b5b66-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
12,iii,/DataCentric/data/train/iii/b0ab977a-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
13,iii,/DataCentric/data/train/iii/b0eb7124-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
14,iii,/DataCentric/data/train/iii/b0f00afe-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
15,iv,/DataCentric/data/train/iv/ade04432-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
16,iv,/DataCentric/data/train/iv/adf813d2-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
17,iv,/DataCentric/data/train/iv/ae07e118-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
18,iv,/DataCentric/data/train/iv/ae6d4580-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
19,iv,/DataCentric/data/train/iv/ae862a32-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
20,ix,/DataCentric/data/train/ix/aeaf289c-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
21,ix,/DataCentric/data/train/ix/aeb08eb2-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
22,ix,/DataCentric/data/train/ix/aeef5a98-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
23,v,/DataCentric/data/train/v/af88d308-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
24,v,/DataCentric/data/train/v/af2f5922-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
25,vi,/DataCentric/data/train/vi/aab8e1f6-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
26,vi,/DataCentric/data/train/vi/aab97aa8-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
27,vi,/DataCentric/data/train/vi/aacb3d1a-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
28,vi,/DataCentric/data/train/vi/aae36b06-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
29,vi,/DataCentric/data/train/vi/ab05d178-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
30,vii,/DataCentric/data/train/vii/ac79b650-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
31,vii,/DataCentric/data/train/vii/ac9c3e3c-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
32,vii,/DataCentric/data/train/vii/acab893c-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
33,vii,/DataCentric/data/train/vii/acdcf062-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
34,viii,/DataCentric/data/train/viii/ad7040e2-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
35,viii,/DataCentric/data/train/viii/adc87d34-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
36,viii,/DataCentric/data/train/viii/ad8fe24e-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
37,viii,/DataCentric/data/train/viii/adaca514-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
38,x,/DataCentric/data/train/x/afb804a2-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
39,x,/DataCentric/data/train/x/afe99c10-ce5d-11eb-b317-38f9d35ea60f.png,remove,anh
